marker_token	representation	protein_resolution	canonical	legacy_axiom_rows	enhanced_axiom_rows	gained	lost	rationale	source_ref
CXCR3	single_protein	allow	CD183	0	8	8	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CXCR3
CXCR5	single_protein	allow	CD185	0	2	2	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CXCR5
DELTA	unresolved	withhold	DELTA	0	0	0	0	No PRO identity recorded; possible source artifact or unresolved marker requires clarification.	marker_mappings/marker_protein_gene.csv#delta
DELTA1	unresolved	withhold	DELTA1	0	0	0	0	No PRO identity recorded; possible source artifact or unresolved marker requires clarification.	marker_mappings/marker_protein_gene.csv#delta1
FCER1A	single_protein	allow	FCER1A	0	16	16	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#FceR1a
GAMMA	unresolved	withhold	GAMMA	0	0	0	0	No PRO identity recorded; possible source artifact or unresolved marker requires clarification.	marker_mappings/marker_protein_gene.csv#gamma
HLA-DR	complex	withhold	HLA-DR	0	0	0	0	Registry notes describe an assembled or multi-gene marker; component PRO identity cannot establish whole-marker equivalence.	marker_mappings/marker_protein_gene.csv#HLA-DR
IFNG	single_protein	allow	IFNG	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IFNg
IGA	protein_family	withhold	IGA	0	0	0	0	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#IgA
IGD	protein_family	withhold	IGD	0	0	0	0	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#IgD
IGE	protein_family	withhold	IGE	0	0	0	0	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#IgE
IGG	protein_family	withhold	IGG	0	0	0	0	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#IgG
IGM	protein_family	withhold	IGM	0	0	0	0	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#IgM
IL-13	single_protein	allow	IL-13	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IL-13
IL-17A	single_protein	allow	IL-17A	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IL-17a
IL-4	single_protein	allow	IL-4	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IL-4
IL-5	single_protein	allow	IL-5	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IL-5
IL-9	single_protein	allow	IL-9	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IL-9
MR1	unresolved	withhold	MR1	0	0	0	0	Conservative hold: registry protein label or reagent context does not explicitly establish whole-marker identity; review required.	marker_mappings/marker_protein_gene.csv#MR1
TCR	protein_family	withhold	TCR	0	0	0	0	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#TCR
TCRAB	complex	withhold	TCRAB	0	0	0	0	Registry notes describe an assembled or multi-gene marker; component PRO identity cannot establish whole-marker equivalence.	marker_mappings/marker_protein_gene.csv#TCRab
TCRGD	complex	withhold	TCRGD	0	0	0	0	Registry notes describe an assembled or multi-gene marker; component PRO identity cannot establish whole-marker equivalence.	marker_mappings/marker_protein_gene.csv#TCRgd
TCRVA24	single_protein	allow	TCRVA24	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#TCRVa24
TCRVA24-JA18	complex	withhold	TCRVA24-JA18	0	0	0	0	Registry notes describe an assembled or multi-gene marker; component PRO identity cannot establish whole-marker equivalence.	marker_mappings/marker_protein_gene.csv#TCRVa24-Ja18
TCRVA7.2	single_protein	allow	TCRVA7.2	0	1	1	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#TCRVa7.2
TCRVB11	single_protein	allow	TCRVB11	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#TCRVb11
TCRVD2	single_protein	allow	TCRVD2	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#TCRVd2
TCRVG9	single_protein	allow	TCRVG9	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#TCRVg9
TETRAMER	reagent_gate	withhold	TETRAMER	0	0	0	0	Registry notes describe a reagent, lipid antigen, or carbohydrate epitope rather than a single protein.	marker_mappings/marker_protein_gene.csv#Tetramer
V	unresolved	withhold	V	0	0	0	0	No PRO identity recorded; possible source artifact or unresolved marker requires clarification.	marker_mappings/marker_protein_gene.csv#V
VB11	single_protein	allow	TCRVB11	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#VB11
VD1	single_protein	allow	VD1	0	0	0	0	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#Vd1
