marker_token	representation	protein_resolution	rationale	source_ref	registry_sha256
CD64	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD64	46571d20d73b5ef77ec5c7be28beda3c94890e33c17faf4904e285b294e2db47
CD66B	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD66b	42305fda07fd524b609244d79f171598c6b1b1b879466170789a47c30bc9033a
CD8	unresolved	withhold	Conservative hold: registry protein label or reagent context does not explicitly establish whole-marker identity; review required.	marker_mappings/marker_protein_gene.csv#CD8	846bd4bc8c8ea34fbf0c5c56e81c254a02fcb1bb913d7ed7d4dd64b1d895773a
CXCR3	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CXCR3	6620e8f0b53cd1ecfa795de32156537b7835bfbfb2e7a46195c7b9a4a6d21507
CXCR5	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CXCR5	edfd11e18c37d49e6723778e16efd44bf98358fa84f3882908d38fd87bcb79c1
FCER1A	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#FceR1a	0ffb585d4dc904f1d78456c5f8ae18e3d3c7e53e0a0addf4306a7654eec5884a
HLA-DR	complex	withhold	Registry notes describe an assembled or multi-gene marker; component PRO identity cannot establish whole-marker equivalence.	marker_mappings/marker_protein_gene.csv#HLA-DR	c7b6d01f0a4eaffefce1df3c4a53407d958d2f032e03a9ce22f0354adbdded3c
IFNG	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IFNg	984c2f8cfe641da02a4d92ac78be3e3595127852ff7b8d67acacc0ae3361b8ba
IL-13	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IL-13	0fea4e3f83d693c4bb37136de36e615363c0203996bd448c7b9c442f33cda6be
IL-17A	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IL-17a	92fcb16f42e797476ce20b25717efcfa123fc60b9e8e0f979c01aefecba1fe2e
IL-4	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IL-4	b73d688d701631fa8fe4c1db97221effb5ee895dad8fec7fdf4b77373958ee3c
IL-5	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IL-5	9359347c3979d2efe87eed401c1bab949de52f4c187ebecafa6336c6327a25cd
IL-9	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#IL-9	9894867ba02520d0af6c0bf4858b55237d8a74be1be3dadaf0721b3a768ab686
IGA	protein_family	withhold	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#IgA	61ac45fc138bab46fc31d71e42363d20de18a9585ff4717fb02702cbb03c6685
IGD	protein_family	withhold	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#IgD	e4a5f79157c47b9a0e3fccb6d6eb144d50c93d7fb5f71224bd825f3e09adfb52
IGE	protein_family	withhold	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#IgE	67b95e398fb1095e4c4a380091f0dae23dec9025456defdd9d0f5f254740da2e
IGG	protein_family	withhold	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#IgG	c51e1dd6ae671fd9db387be6d0a26fdce6645e0f6a00d14891c0922708a941e7
IGM	protein_family	withhold	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#IgM	fc17667826dd44b6b08bd4cb257f3d4fa23fdbf477c3da79386cb427b0d2f88d
MR1	unresolved	withhold	Conservative hold: registry protein label or reagent context does not explicitly establish whole-marker identity; review required.	marker_mappings/marker_protein_gene.csv#MR1	96c5bf22b0be1d144cf60f175968b19c1485c64c4866d4a109f636a9c9af703d
TCR	protein_family	withhold	Registry notes document a non-single-protein or pan-marker representation.	marker_mappings/marker_protein_gene.csv#TCR	9a617aa9a766194134020d7afa5feca696fc92cb187377eb72b2bb326d40cae7
TCRVA24	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#TCRVa24	f81c80eeaa4d2de919813822e062fe2e4210b8a025bd76ebbad546bdd0936315
TCRVA24-JA18	complex	withhold	Registry notes describe an assembled or multi-gene marker; component PRO identity cannot establish whole-marker equivalence.	marker_mappings/marker_protein_gene.csv#TCRVa24-Ja18	aad1afeeb19ea59d1c85741576656d0bf629f1500ac86d389d008e5adc327020
TCRVA7.2	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#TCRVa7.2	1917c912d25db47ddf31fdee753f0093f18dfb1fcf080f5a2dcc9a53cdd490a5
TCRVB11	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#TCRVb11	3b0361d975e31467580067f5d17823f53d425f9d2b5ef44745fee1aba08ca941
TCRVD2	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#TCRVd2	5fb0b153ecc148621ec7c97ffea4618dcaf12f3f62d1642acfb303c5179ef2ec
TCRVG9	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#TCRVg9	9318391135642e811b2781de7a9be4cc58f52c5f21dbfe8a0d316f3619f245f1
TCRAB	complex	withhold	Registry notes describe an assembled or multi-gene marker; component PRO identity cannot establish whole-marker equivalence.	marker_mappings/marker_protein_gene.csv#TCRab	db65f2afbe24e19148fe8039a5a7df5983c5e9d0963d9cff9dec278958e33382
TCRGD	complex	withhold	Registry notes describe an assembled or multi-gene marker; component PRO identity cannot establish whole-marker equivalence.	marker_mappings/marker_protein_gene.csv#TCRgd	49ec8f76a1338a63effb3e88e3c748f97f2753861e47ad476c1f4a96384b40ec
TETRAMER	reagent_gate	withhold	Registry notes describe a reagent, lipid antigen, or carbohydrate epitope rather than a single protein.	marker_mappings/marker_protein_gene.csv#Tetramer	2f3894386ee2918f58d53b858eebc8e09729f16699a8f9d6faab2d5900495227
V	unresolved	withhold	No PRO identity recorded; possible source artifact or unresolved marker requires clarification.	marker_mappings/marker_protein_gene.csv#V	610b267c4ba493d65f1528fb008a91bcab513fe39cd039617f4ba0313b50fa61
VB11	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#VB11	6642023972a293e8a24efa26bb504964bc55c6f68d25a2186fd5609b89465e9f
VD1	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#Vd1	adcc38bd179456a5c30cbddcb322a4cec7c64ca04f5c0f5ca79aef2703ee25fc
DELTA	unresolved	withhold	No PRO identity recorded; possible source artifact or unresolved marker requires clarification.	marker_mappings/marker_protein_gene.csv#delta	83aed236bb5fcdc28afafd651c50af0e2bc053b7d9f64f979e47e39e66751b5e
DELTA1	unresolved	withhold	No PRO identity recorded; possible source artifact or unresolved marker requires clarification.	marker_mappings/marker_protein_gene.csv#delta1	5b366a2c0a5c2f3a19355bb66e4ad0f88c172aa901c577aa9b16acff92294995
GAMMA	unresolved	withhold	No PRO identity recorded; possible source artifact or unresolved marker requires clarification.	marker_mappings/marker_protein_gene.csv#gamma	dc9b95fd067723b54cfdb2e4fcf8948e571b2dfc83b0fa6dc407a4bcf6f402be
