subject_id	Abbreviation	Parent	WB or PBMC	subject_label	profile_signature
SOULCAP:SC000107	T helper	TCRab		T helper	f652837fbdd6d241423c1f8164656507282eebbd1ba299a54e354c0fde1e6ac2
SOULCAP:SC000108	T cytotoxic	TCRab		T cytotoxic	9222b43d7123805f910fc3866ccc23838742b15d7126d08ee704d417946754d9
SOULCAP:SC000109	ConT Treg-like	CD4 ConT		ConT Treg-like	62c1edbf3cfec6ef45ec6320c952819405e64af7ca74da0c7994efb6058d88df
SOULCAP:SC000110	ConT Tfh-like	CD4 ConT		ConT Tfh-like	44ddcaa45adc71ea92ef7e77b9ee7aace81e8a2a68626ad1403c501bd806ad62
SOULCAP:SC000111	Th1-like	CD4 ConT		Th1-like	eb2f9be08483a4cfd23a4b65d441859fd78108524808b6116df5df5c3378dcae
SOULCAP:SC000112	Th2-like	CD4 ConT		Th2-like	5106e488ccb1e49c05ce9f61eac685eddf5db1bbb77e8a2d7de3db9104280624
SOULCAP:SC000113	Th9-like			Th9-like	8eb0d8bcd0a845c22b51a78ef6960fe0b610a27f2762cdc77dfba52cddd2d624
SOULCAP:SC000114	Th17-like	CD4 ConT		Th17-like	32dbf52d43a6c950200d8a620fcd2113f43456d28ceca67d9634476ae3629c3c
SOULCAP:SC000115	CD4 PanT helper	CD4/CD8 PanT		CD4 PanT helper	7cc8c775ded3f9d32a26e915374d756a00c48da25d0877ee64a727ffbde76c7f
SOULCAP:SC000116	Th1-like			Th1-like	745dbae3a744d8f04bfa34c0f8c15e967774b31da9d847d0faba220db41c1fae
SOULCAP:SC000117	Th2-like			Th2-like	35b18f8384d3bc65ad2b547ebafa2ee65a7f450f8c7df3f50de35e8b13c7579f
SOULCAP:SC000118	Th9-like			Th9-like	3adc1b6057ca08695d82bfb5eff06f5e438a8d6b28b15e247c53e1ff39526fc8
SOULCAP:SC000119	Th17-like			Th17-like	560be91a9fbc2152269f4b03cb558309acd6fe43ea34a28ca7b06fbf6031e05d
SOULCAP:SC000120	Tfh			Tfh	9222b43d7123805f910fc3866ccc23838742b15d7126d08ee704d417946754d9
SOULCAP:SC000121	CD4 PanT Treg	CD4/CD8 PanT		CD4 PanT Treg	12311b4ebc6cb6ff425491558cded68e9103d4657a7a5782445ef9eb366da0f6
SOULCAP:SC000122	Vg9 Vd2	TCRgd		Vg9 Vd2	22113f037f007abdc5508d4e3927d8da1ee8897c10fb75fe5a92daf4a1268378
SOULCAP:SC000123	Vd2	TCRgd		Vd2	86e00878718ad9f17f7c2706d8f5deb6ed7d271e1e754018a8fc436f6ac5e4c6
SOULCAP:SC000124	Vd3	TCRgd		Vd3	fe2718042d6a8e804c8436d28e43eb4ecbfc838e65f38c3bc1b7d0bac78a0218
SOULCAP:SC000125	Vg9 Vd1			Vg9 Vd1	7b120179028599d35017591da2ca5e036aeea61285114677deaeb48380841528
SOULCAP:SC000126	Vd1	TCRgd		Vd1	f81e0e5c6ff22ea508bfa42152e3c47ff47e510cf3000a3b16175a5797845d7d
SOULCAP:SC000127	Vg9	TCRgd		Vg9 	65aad0d96298993ec070c31bd5c6e884fd3a4e7595e157d92d6482ce0da6cd73
